"X"	"Y"	"B07"	"B06"	"B05"	"B04"	"B03"	"B02"	"B01"
461621.000000	6977711.000000	96.220963	64.737144	14.935406	7.183340	10.571287	5.000000	5.000000
461651.000000	6977711.000000	98.992439	65.000000	13.540111	6.260898	10.000000	5.000000	5.000000
461681.000000	6977711.000000	99.943588	65.296761	13.540111	6.000000	10.000000	5.000000	5.000000
461711.000000	6977711.000000	99.403633	65.354691	13.575326	6.315792	10.000000	5.000000	5.000000
461741.000000	6977711.000000	99.288162	65.754639	14.466477	6.963789	10.000000	5.000000	5.000000
461771.000000	6977711.000000	98.650726	66.000000	14.886735	7.358146	10.610095	5.000000	5.000000
461801.000000	6977711.000000	98.653297	66.344772	14.896884	7.066288	10.040192	5.000000	5.000000
461831.000000	6977711.000000	99.459892	68.459892	17.459888	9.506739	11.731425	5.000000	5.000000
461861.000000	6977711.000000	100.281502	68.459892	17.174026	8.373406	11.178386	5.000000	5.000000
461891.000000	6977711.000000	101.125824	67.874176	15.367297	8.143538	10.919779	5.000000	5.000000
461921.000000	6977711.000000	100.564491	66.681694	15.278621	7.022424	10.632519	5.000000	5.000000
461951.000000	6977711.000000	101.150208	68.308777	15.979261	7.822268	10.755430	5.000000	5.000000
461981.000000	6977711.000000	100.540108	69.540108	17.540112	9.038066	11.535239	5.000000	5.000000
462011.000000	6977711.000000	100.369949	69.054901	17.369949	9.054901	11.684952	5.000000	5.000000
462041.000000	6977711.000000	101.315048	67.295044	15.590094	7.675799	10.346280	5.000000	5.000000
462071.000000	6977711.000000	101.000000	67.000000	15.000000	7.501222	10.278285	5.000000	5.000000
462101.000000	6977711.000000	99.860764	67.000000	16.139240	8.334557	11.155244	5.000000	5.000000
462131.000000	6977711.000000	99.088760	66.955620	16.911236	8.395097	10.955618	5.000000	5.000000
462161.000000	6977711.000000	101.000000	66.000000	15.000000	7.000000	10.234563	5.000000	5.000000
462191.000000	6977711.000000	100.785904	66.824188	15.214096	7.494672	10.919147	5.000000	5.000000
462221.000000	6977711.000000	100.000000	67.000000	16.604000	8.604000	11.604000	5.000000	5.000000
462251.000000	6977711.000000	98.012192	67.993904	18.377716	11.140820	12.536819	5.000000	5.000000
462281.000000	6977711.000000	97.836380	67.836380	18.836380	10.478043	12.122219	5.163620	5.000000
462311.000000	6977711.000000	96.446472	67.000000	18.000000	9.950769	11.446476	6.000000	6.000000
462341.000000	6977711.000000	96.333336	67.000000	18.333334	10.360074	11.666667	6.000000	6.000000
462371.000000	6977711.000000	95.327240	67.836380	23.068764	13.896153	13.952615	7.446476	8.000000
462401.000000	6977711.000000	91.993904	67.993904	28.000000	17.873817	15.956841	8.000000	8.000000
462431.000000	6977711.000000	92.701462	78.059494	51.820454	28.811768	21.142017	10.552192	11.000000
461531.000000	6977741.000000	94.870583	77.576614	37.820847	29.626797	24.444256	7.000000	7.000000
461561.000000	6977741.000000	93.557892	65.271767	19.688053	7.704594	10.936176	7.000000	7.000000
461591.000000	6977741.000000	93.037323	64.209023	16.519190	8.677018	11.603786	5.085329	5.000000
461621.000000	6977741.000000	94.581383	64.653915	15.277089	7.675319	10.981159	5.000000	5.000000
461651.000000	6977741.000000	98.577156	65.439308	13.534403	6.115786	10.000000	5.000000	5.000000
461681.000000	6977741.000000	99.684875	65.713318	13.420753	6.217373	10.000000	5.000000	5.000000
461711.000000	6977741.000000	98.554848	65.286766	13.324486	6.696702	10.000000	5.000000	5.000000
461741.000000	6977741.000000	99.026016	65.594360	13.942183	6.150206	10.000000	5.000000	5.000000
461771.000000	6977741.000000	100.356064	66.727753	15.046235	7.325127	10.388138	5.000000	5.000000
461801.000000	6977741.000000	100.343781	67.379433	16.023697	8.283870	10.782432	5.000000	5.000000
461831.000000	6977741.000000	99.520599	69.370399	18.849794	10.282677	12.026096	5.000000	5.000000
461861.000000	6977741.000000	98.974327	68.905495	18.817745	10.271141	12.292479	5.000000	5.000000
461891.000000	6977741.000000	99.636620	68.917305	18.513577	10.676836	12.469700	5.000000	5.000000
461921.000000	6977741.000000	99.854454	67.293823	16.680973	9.408351	12.092182	5.000000	5.000000
461951.000000	6977741.000000	100.555496	67.924553	16.378342	8.369212	11.201143	5.000000	5.000000
461981.000000	6977741.000000	100.610092	68.760300	17.849794	9.215144	11.690492	5.000000	5.000000
462011.000000	6977741.000000	100.266853	68.520767	17.582067	9.102837	11.520769	5.000000	5.000000
462041.000000	6977741.000000	100.551804	67.068199	15.466592	7.229417	10.747872	5.000000	5.000000
462071.000000	6977741.000000	99.910507	66.445961	15.651648	7.922608	10.849794	5.000000	5.000000
462101.000000	6977741.000000	99.431732	66.775475	16.212372	8.567014	11.072814	5.000000	5.000000
462131.000000	6977741.000000	97.928070	66.408264	16.876768	8.748788	11.139573	5.000000	5.000000
462161.000000	6977741.000000	98.315018	65.864403	15.985395	8.354449	10.953892	5.000000	5.000000
462191.000000	6977741.000000	98.220901	66.824188	16.779903	8.918307	11.518569	5.000000	5.000000
462221.000000	6977741.000000	98.060715	66.486725	17.180218	9.214096	11.700820	5.000000	5.000000
462251.000000	6977741.000000	96.921593	67.144112	17.814779	9.851026	11.760302	5.000000	5.000000
462281.000000	6977741.000000	97.545250	67.125626	17.925150	10.287953	11.984979	5.163620	5.000000
462311.000000	6977741.000000	96.083115	66.529617	18.470381	10.321623	12.023877	6.000000	6.000000
462341.000000	6977741.000000	95.040474	66.513367	19.865891	12.222553	12.676261	6.000000	6.000000
462371.000000	6977741.000000	93.348732	69.008659	26.939711	19.119411	16.388958	7.619836	8.000000
462401.000000	6977741.000000	91.697357	70.489357	30.777370	21.326323	17.836262	8.239698	8.000000
461561.000000	6977771.000000	94.748917	66.365135	19.539043	8.817638	11.432570	7.000000	7.000000
461591.000000	6977771.000000	93.497208	64.527481	15.722272	8.497028	10.993226	5.085329	5.000000
461621.000000	6977771.000000	95.754791	64.771545	14.566685	7.140858	10.561216	5.000000	5.000000
461651.000000	6977771.000000	98.358727	65.182053	13.980492	6.473622	10.294703	5.000000	5.000000
461681.000000	6977771.000000	99.615883	65.557243	13.986281	6.335897	10.000000	5.000000	5.000000
461711.000000	6977771.000000	99.643074	65.998505	13.747154	6.727646	10.000000	5.000000	5.000000
461741.000000	6977771.000000	100.142868	65.998695	13.821894	6.304104	10.009100	5.000000	5.000000
461771.000000	6977771.000000	99.506409	66.854378	15.715567	7.791286	10.756059	5.000000	5.000000
461801.000000	6977771.000000	99.089661	66.646782	16.045938	8.037998	10.881678	5.000000	5.000000
461831.000000	6977771.000000	98.000000	68.000000	17.760302	9.000000	11.775574	5.000000	5.000000
461861.000000	6977771.000000	97.017685	68.225975	18.846354	10.887092	12.098907	5.000000	5.000000
461891.000000	6977771.000000	99.160004	68.574287	17.765173	9.145368	11.510792	5.000000	5.000000
461921.000000	6977771.000000	100.229660	68.004875	17.072979	8.615442	11.613068	5.000000	5.000000
461951.000000	6977771.000000	100.034248	68.461784	16.953701	8.212139	11.000000	5.000000	5.000000
461981.000000	6977771.000000	100.649109	68.649109	17.370396	8.217759	11.326547	5.000000	5.000000
462011.000000	6977771.000000	100.601791	68.444611	16.856993	8.074856	11.417886	5.000000	5.000000
462041.000000	6977771.000000	100.575211	66.590096	14.657361	7.055546	10.461530	5.000000	5.000000
462071.000000	6977771.000000	98.035629	66.000000	16.466171	8.324395	11.620147	5.000000	5.000000
462101.000000	6977771.000000	98.073387	65.389908	16.201797	8.482115	11.076465	5.000000	5.000000
462131.000000	6977771.000000	97.474220	65.757584	16.654476	9.566734	11.637173	5.000000	5.000000
462161.000000	6977771.000000	97.696678	66.055420	16.839142	9.621131	11.779426	5.000000	5.000000
462191.000000	6977771.000000	96.926186	66.935631	17.984591	9.626153	11.559927	5.000000	5.000000
462221.000000	6977771.000000	97.011780	66.403725	17.370396	8.841540	11.000000	5.000000	5.000000
462251.000000	6977771.000000	97.000122	66.368141	17.002258	8.999881	11.234160	5.000000	5.000000
462281.000000	6977771.000000	97.068649	66.367203	17.175522	9.266635	11.960472	5.163620	5.000000
462311.000000	6977771.000000	95.496117	66.156662	18.553524	10.956508	12.503076	6.000000	6.000000
462341.000000	6977771.000000	94.333336	66.456802	20.697227	12.894091	13.320329	6.000000	6.000000
462371.000000	6977771.000000	92.165825	68.307709	26.458046	17.572561	15.800944	8.169715	9.000000
462401.000000	6977771.000000	92.629601	71.734848	35.496899	19.168398	16.368258	9.000000	9.000000
